batch_size,lr,dropout_rate,epochs,val_f1
16,1e-05,0.4,6,0.5693961596970184
16,1e-05,0.5,6,0.6046925524088782
16,1.5e-05,0.4,6,0.581859002137127
16,1.5e-05,0.5,6,0.5952699142036416
